Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8491620111731844,0.828125,0.7681159420289855,0.7969924812030075,0.8691699604743083
Random Forest,0.8100558659217877,0.8181818181818182,0.6521739130434783,0.7258064516129032,0.8474967061923583
Gradient Boosting,0.8156424581005587,0.8,0.6956521739130435,0.7441860465116279,0.8472990777338604
