Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.8491620111731844,0.828125,0.7681159420289855,0.7969924812030075
Support Vector Machine,0.8324022346368715,0.8305084745762712,0.7101449275362319,0.765625
Gradient Boosting,0.8212290502793296,0.8032786885245902,0.7101449275362319,0.7538461538461538
Decision Tree,0.8156424581005587,0.7727272727272727,0.7391304347826086,0.7555555555555555
Random Forest,0.8100558659217877,0.7692307692307693,0.7246376811594203,0.746268656716418
K-Nearest Neighbors,0.7932960893854749,0.7666666666666667,0.6666666666666666,0.7131782945736435
